genes,logFC,logCPM,F,PValue,FDR
maker-scaffold608-size69469-augustus-gene-0.20,2.63754709998772,5.69072626281907,519.935591027506,4.83497946972719e-11,2.66548476314286e-09
augustus_masked-scaffold349-size136186-abinit-gene-1.0,-3.41159865207191,8.53626713400875,519.605550299406,4.85256382238473e-11,2.66548476314286e-09
maker-scaffold300-size151442-snap-gene-1.25,-4.44463901162516,4.91733887678724,517.202289219598,4.98289146347001e-11,2.70750454324968e-09
maker-scaffold439-size36912-augustus-gene-0.27,-2.457452971955,6.80445417958303,517.126810859773,4.98705056156505e-11,2.70750454324968e-09
maker-scaffold460-size38836-augustus-gene-0.13,-3.78521446632409,6.25983464610874,516.222520986076,5.03719736082733e-11,2.71892190493674e-09
maker-scaffold1-size140626-snap-gene-1.31,-3.08730816368497,8.55834592541658,508.782475139744,5.47299060079662e-11,2.93717162242752e-09
maker-scaffold96-size184382-augustus-gene-1.41,4.28634619064953,8.50449532334754,507.531926869741,5.55050283749699e-11,2.96174831408839e-09
augustus_masked-scaffold4456-size6280-abinit-gene-0.0,-5.60144873524249,4.41973425319791,505.41651523758,5.68456893967348e-11,3.01605140674267e-09
snap_masked-scaffold1323-size41913-abinit-gene-0.6,-6.72682323896026,5.45240902496111,503.892306993458,5.89321549841038e-11,3.10908736294667e-09
maker-scaffold1206-size16912-snap-gene-0.9,5.35392435388128,7.83020495968925,500.155277274883,6.03479007466054e-11,3.16589155714495e-09
maker-scaffold115-size186799-augustus-gene-0.27,-3.81896518783603,8.2766642958868,499.600606369979,6.07316494409838e-11,3.16822425966428e-09
augustus_masked-scaffold459-size42612-abinit-gene-0.8,-6.56715339741782,5.90126223909762,509.258665112819,6.15123735132229e-11,3.17636230625542e-09
maker-scaffold368-size54604-snap-gene-0.17,6.13527789594108,6.1210462691649,503.334717389439,6.15679564609372e-11,3.17636230625542e-09
maker-scaffold2357-size19619-snap-gene-0.16,-2.49878483991848,7.18579153765335,496.22975776307,6.31262046535017e-11,3.23885988491428e-09
augustus_masked-scaffold4846-size3279-abinit-gene-0.0,-6.41724889770185,6.16533270452507,507.203759315256,6.42431206878522e-11,3.27815443160199e-09
maker-scaffold947-size99615-snap-gene-0.32,3.75022343803241,9.93116034414862,490.460127166663,6.74864463542317e-11,3.42493715247726e-09
maker-scaffold152-size207929-augustus-gene-1.31,4.73259659812291,7.1712310113396,484.8072512519,7.21044562479223e-11,3.63952114834107e-09
maker-scaffold1241-size49241-snap-gene-0.11,-7.26778881570432,8.37981192397402,513.900260265197,7.259402930905e-11,3.64453250369843e-09
snap_masked-scaffold438-size69364-abinit-gene-0.20,4.83933962212191,7.6754061800353,478.353660851842,7.78364395246873e-11,3.88603796565571e-09
maker-scaffold289-size135755-augustus-gene-0.23,-5.42051869456613,4.93768797717531,477.923850708858,7.82367891993226e-11,3.88603796565571e-09
snap_masked-scaffold293-size196516-abinit-gene-1.26,-4.90630319531971,7.15926346654457,477.218094440535,7.8899415195017e-11,3.8982155507464e-09
maker-scaffold116-size166566-augustus-gene-1.40,2.40236175194829,7.1650261299239,474.558526949073,8.14562252790794e-11,3.99226678243844e-09
snap_masked-scaffold773-size51444-abinit-gene-0.18,3.23477212490392,5.68990309766498,474.352756616799,8.16580590539453e-11,3.99226678243844e-09
maker-scaffold90-size195182-snap-gene-0.46,5.31555403465118,5.70189603468535,473.735304727222,8.2267224109852e-11,4.0011007225927e-09
maker-scaffold34-size182646-augustus-gene-0.35,-2.66688826299151,7.14814362068014,472.723051855176,8.32774474120695e-11,4.02924768877671e-09
augustus_masked-scaffold277-size67114-abinit-gene-0.12,-6.22021344559126,6.83129137656997,489.957434795876,8.50862595472431e-11,4.09554377140287e-09
